"partner","geo","time","values"
"AT","AT",2015-01-01,0
"AT","BG",2015-01-01,4
"AT","CH",2015-01-01,359
"AT","DE",2015-01-01,1846
"AT","EE",2015-01-01,0
"AT","EL",2015-01-01,37
"AT","FI",2015-01-01,102
"AT","FR",2015-01-01,382
"AT","IE",2015-01-01,11
"AT","IT",2015-01-01,324
"AT","LU",2015-01-01,15
"AT","LV",2015-01-01,0
"AT","MT",2015-01-01,1
"AT","NO",2015-01-01,147
"AT","PL",2015-01-01,9
"AT","PT",2015-01-01,0
"AT","RO",2015-01-01,4
"AT","SE",2015-01-01,694
"AT","SI",2015-01-01,10
"AT","SK",2015-01-01,15
"BE","AT",2015-01-01,69
"BE","BG",2015-01-01,0
"BE","CH",2015-01-01,96
"BE","DE",2015-01-01,862
"BE","EE",2015-01-01,0
"BE","EL",2015-01-01,27
"BE","FI",2015-01-01,21
"BE","FR",2015-01-01,463
"BE","IE",2015-01-01,3
"BE","IT",2015-01-01,129
"BE","LU",2015-01-01,22
"BE","LV",2015-01-01,1
"BE","MT",2015-01-01,1
"BE","NO",2015-01-01,25
"BE","PL",2015-01-01,8
"BE","PT",2015-01-01,0
"BE","RO",2015-01-01,1
"BE","SE",2015-01-01,81
"BE","SI",2015-01-01,6
"BE","SK",2015-01-01,0
"BG","AT",2015-01-01,1570
"BG","BG",2015-01-01,0
"BG","CH",2015-01-01,309
"BG","DE",2015-01-01,4644
"BG","EE",2015-01-01,0
"BG","EL",2015-01-01,12
"BG","FI",2015-01-01,95
"BG","FR",2015-01-01,363
"BG","IE",2015-01-01,5
"BG","IT",2015-01-01,546
"BG","LU",2015-01-01,2
"BG","LV",2015-01-01,0
"BG","MT",2015-01-01,3
"BG","NO",2015-01-01,194
"BG","PL",2015-01-01,2
"BG","PT",2015-01-01,0
"BG","RO",2015-01-01,37
"BG","SE",2015-01-01,416
"BG","SI",2015-01-01,4
"BG","SK",2015-01-01,7
"CH","AT",2015-01-01,198
"CH","BG",2015-01-01,1
"CH","CH",2015-01-01,0
"CH","DE",2015-01-01,1122
"CH","EE",2015-01-01,0
"CH","EL",2015-01-01,83
"CH","FI",2015-01-01,48
"CH","FR",2015-01-01,313
"CH","IE",2015-01-01,8
"CH","IT",2015-01-01,92
"CH","LU",2015-01-01,25
"CH","LV",2015-01-01,1
"CH","MT",2015-01-01,2
"CH","NO",2015-01-01,82
"CH","PL",2015-01-01,5
"CH","PT",2015-01-01,0
"CH","RO",2015-01-01,1
"CH","SE",2015-01-01,272
"CH","SI",2015-01-01,2
"CH","SK",2015-01-01,4
"CY","AT",2015-01-01,12
"CY","BG",2015-01-01,1
"CY","CH",2015-01-01,5
"CY","DE",2015-01-01,50
"CY","EE",2015-01-01,0
"CY","EL",2015-01-01,3
"CY","FI",2015-01-01,2
"CY","FR",2015-01-01,4
"CY","IE",2015-01-01,0
"CY","IT",2015-01-01,11
"CY","LU",2015-01-01,1
"CY","LV",2015-01-01,0
"CY","MT",2015-01-01,1
"CY","NO",2015-01-01,13
