number,name,adress,legalForm
8,CSS Kranken- Versicherung AG,Tribschenstrasse 21 Postfach 2568 6002 Luzern Tel. 058 277 11 11 Fax 058 277 12 12 css.info@css.ch www.css.ch,AG SA SA
32,Aquilana Versicherungen,Bruggerstrasse 46 5401 Baden Tel. 056 203 44 44 Fax 056 203 44 99 info@aquilana.ch www.aquilana.ch,Verein Association Associazione
57,Moove Sympany AG,Peter Merian-Weg 4 4002 Basel Tel. 058 262 30 00 info.moove@sympany.ch www.sympany.ch,AG SA SA
62,SUPRA-1846 SA,Av. de la Rasude 8 1006 Lausanne Tel. 0848 803 111 info@groupemutuel.ch www.supra.ch,AG SA SA
134,Kranken- und Unfallkasse Bezirkskrankenkasse Einsiedeln,Hauptstrasse 61 Postfach 57 8840 Einsiedeln Tel. 055 412 23 18 Fax 055 412 88 34 info@kkeinsiedeln.ch www.kkeinsiedeln.ch,Verein Association Associazione
182,PROVITA Gesundheitsversicherung AG PROVITA assurance santé SA,c/o SWICA Krankenversicherung AG Römerstrasse 38 8401 Winterthur Tel. 052 244 22 33 Fax 052 244 22 90 info@provita.ch www.provita.ch,AG SA SA
194,Sumiswalder Krankenkasse,Spitalstrasse 47 3454 Sumiswald Tel. 034 432 30 60 Fax 034 432 30 61 info@sumiswalder.ch www.sumiswalder.ch,Verein Association Associazione
290,CONCORDIA Schweiz. Kranken- und Unfallversicherung AG,Bundesplatz 15 6002 Luzern Tel. 041 228 01 11 Fax 041 228 02 10 info@concordia.ch www.concordia.ch,AG SA SA
312,Atupri Krankenkasse Atupri Caisse-maladie Atupri Cassa malati,Zieglerstrasse 29 3000 Bern 65 Tel. 031 555 09 11 Fax 031 555 09 12 info@atupri.ch www.atupri.ch,Stiftung Fondation Fondazione
343,Avenir Assurance Maladie SA Avenir Krankenversiche- rung AG Avenir Assicurazione Malattia SA,Groupe Mutuel Avenir Assurance Maladie Rue des Cèdres 5 1919 Martigny Tel. 0848 803 111 Fax 0848 803 112 info@groupemutuel.ch www.groupemutuel.ch,AG SA SA
360,Krankenkasse Luzerner Hinterland,Luzernstrasse 19 6144 Zell Tel. 041 989 70 00 Fax 041 989 70 01 info@kklh.ch www.kklh.ch,Verein Association Associazione
376,KPT Krankenkasse AG CPT Assurance SA CPT Assicurazione SA,Tellstrasse 18 Postfach 8624 3001 Bern Tel. 058 310 91 11 Fax 058 310 86 35 kpt@kpt.ch www.kpt.ch,AG SA SA
455,ÖKK Kranken- und Unfallversicherungen AG,Bahnhofstrasse 13 7302 Landquart Tel. 058 456 10 10 Fax 058 456 10 11 info@oekk.ch www.oekk.ch,AG SA SA
509,Vivao Sympany AG,Peter Merian-Weg 4 4002 Basel Tel. 058 262 42 00 Fax 058 262 42 02 basel.vivao@sympany.ch www.sympany.ch,AG SA SA
762,Kolping Krankenkasse AG Kolping Caisse maladie SA Kolping Cassa malati SA,Wallisellenstrasse 55 8600 Dübendorf Tel. 044 824 80 70 Fax 044 824 80 99 info@mykolping.ch www.mykolping.ch,AG SA SA
774,Easy Sana Assurance Maladie SA Easy Sana Krankenver- sicherung AG Easy Sana Assicurazione Malattia SA,Groupe Mutuel Krankenversicherung Easy Sana Rue des Cèdres 5 1919 Martigny Tel. 0848 803 111 Fax 0848 803 112 info@groupemutuel.ch www.groupemutuel.ch,AG SA SA
780,Genossenschaft Glarner Krankenversicherung,Sernftalstrasse 33 Postfach 8762 Schwanden Tel. 055 642 25 25 Fax 055 642 25 45 info@glkv.ch www.glkv.ch,Genossenschaft Société coopérative Società cooperativa
820,Cassa da malsauns LUMNEZIANA,Postfach 41 7144 Vella Tel. 081 931 35 35 Fax 081 936 81 66 info@lumneziana.ch,Stiftung Fondation Fondazione
829,KluG Krankenversicherung,Gubelstrasse 22 6300 Zug Tel. 041 724 32 78 Fax 041 724 20 45 team.klug@klug.ch www.klug.ch,Verein Association Associazione
