LOCATION,REFERENCEPERIOD,obsTime,obsValue,OBS_STATUS
AUT,2010,1970.0,849.863,NA
AUT,2010,1971.0,876.7198,NA
AUT,2010,1972.0,924.9049,NA
AUT,2010,1973.0,983.3833,NA
AUT,2010,1974.0,1068.3942,NA
AUT,2010,1975.0,1365.5542,NA
AUT,2010,1976.0,1481.9085,NA
AUT,2010,1977.0,1543.0276,NA
AUT,2010,1978.0,1602.6562,NA
AUT,2010,1979.0,1685.3273,NA
AUT,2010,1980.0,1738.9518,NA
AUT,2010,1981.0,1485.8219,NA
AUT,2010,1982.0,1508.3548,NA
AUT,2010,1983.0,1512.4136,NA
AUT,2010,1984.0,1525.3671,NA
AUT,2010,1985.0,1597.0039,NA
AUT,2010,1986.0,1661.8794,NA
AUT,2010,1987.0,1763.1259,NA
AUT,2010,1988.0,1816.3715,NA
AUT,2010,1989.0,1920.5468,NA
AUT,2010,1990.0,2347.0307,B
AUT,2010,1991.0,2423.6339,NA
AUT,2010,1992.0,2540.0944,NA
AUT,2010,1993.0,2696.6659,NA
AUT,2010,1994.0,2875.3106,NA
AUT,2010,1995.0,2925.7651,NA
AUT,2010,1996.0,2978.1928,NA
AUT,2010,1997.0,3074.4388,NA
AUT,2010,1998.0,3240.746,NA
AUT,2010,1999.0,3404.3271,NA
AUT,2010,2e3,3472.7366,NA
AUT,2010,2001.0,3531.3159,NA
AUT,2010,2002.0,3620.3297,NA
AUT,2010,2003.0,3695.6138,NA
AUT,2010,2004.0,3797.4718,NA
AUT,2010,2005.0,3826.3191,NA
AUT,2010,2006.0,3893.9178,NA
AUT,2010,2007.0,4020.3699,NA
AUT,2010,2008.0,4136.9982,NA
AUT,2010,2009.0,4178.429,NA
AUT,2010,2010.0,4236.3164,NA
AUT,2010,2011.0,4253.5175,NA
AUT,2010,2012.0,4362.1556,NA
AUT,2010,2013.0,4352.5783,NA
AUT,2010,2014.0,4390.1259,NA
AUT,2010,2015.0,4425.6932,E
BEL,2010,1970.0,683.3738,D
BEL,2010,1971.0,723.5906,D
BEL,2010,1972.0,788.4374,D
BEL,2010,1973.0,891.1623,D
BEL,2010,1974.0,939.3939,D
BEL,2010,1975.0,1154.0117,D
BEL,2010,1976.0,1262.6339,D
BEL,2010,1977.0,1372.7239,D
BEL,2010,1978.0,1453.5338,D
BEL,2010,1979.0,1482.0677,D
BEL,2010,1980.0,1494.2748,D
BEL,2010,1981.0,1590.1579,D
BEL,2010,1982.0,1655.4796,D
BEL,2010,1983.0,1701.4332,D
BEL,2010,1984.0,1703.9211,D
BEL,2010,1985.0,1744.1525,D
BEL,2010,1986.0,1819.5336,D
BEL,2010,1987.0,1888.226,D
BEL,2010,1988.0,1970.8607,D
BEL,2010,1989.0,2015.7184,D
BEL,2010,1990.0,2085.3743,D
BEL,2010,1991.0,2208.0614,D
BEL,2010,1992.0,2286.7203,D
BEL,2010,1993.0,2292.4751,D
BEL,2010,1994.0,2297.5698,D
BEL,2010,1995.0,2334.5471,B
BEL,2010,1996.0,2454.2452,NA
BEL,2010,1997.0,2492.5703,NA
BEL,2010,1998.0,2577.5149,NA
BEL,2010,1999.0,2720.044,NA
BEL,2010,2e3,2826.9874,NA
BEL,2010,2001.0,2898.5499,NA
BEL,2010,2002.0,2994.2747,NA
BEL,2010,2003.0,3305.4234,B
BEL,2010,2004.0,3418.6101,NA
BEL,2010,2005.0,3442.567,NA
BEL,2010,2006.0,3469.8104,NA
BEL,2010,2007.0,3577.1295,NA
BEL,2010,2008.0,3725.1113,NA
BEL,2010,2009.0,3900.7277,NA
BEL,2010,2010.0,3901.9126,NA
BEL,2010,2011.0,3986.078,NA
BEL,2010,2012.0,4006.2239,NA
BEL,2010,2013.0,4062.795,NA
BEL,2010,2014.0,4097.5951,NA
BEL,2010,2015.0,4120.0479,E
DEU,2010,1970.0,1219.428,NA
DEU,2010,1971.0,1358.2333,NA
DEU,2010,1972.0,1480.9197,NA
DEU,2010,1973.0,1619.966,NA
DEU,2010,1974.0,1757.4922,NA
DEU,2010,1975.0,1906.5468,NA
DEU,2010,1976.0,2015.1658,NA
DEU,2010,1977.0,2070.2065,NA
DEU,2010,1978.0,2154.6998,NA
DEU,2010,1979.0,2201.3952,NA
DEU,2010,1980.0,2282.4014,NA
DEU,2010,1981.0,2374.1244,NA
DEU,2010,1982.0,2319.1311,NA
DEU,2010,1983.0,2361.1298,NA
DEU,2010,1984.0,2472.1423,NA
DEU,2010,1985.0,2579.6387,NA
DEU,2010,1986.0,2603.9363,NA
DEU,2010,1987.0,2668.4883,NA
DEU,2010,1988.0,2812.9428,NA
DEU,2010,1989.0,2689.5098,NA
DEU,2010,1990.0,2774.6817,NA
DEU,2010,1992.0,2909.8528,B
DEU,2010,1993.0,2853.0909,NA
DEU,2010,1994.0,2989.637,NA
DEU,2010,1995.0,3122.131,NA
DEU,2010,1996.0,3241.8944,NA
DEU,2010,1997.0,3257.2866,NA
DEU,2010,1998.0,3327.2647,NA
DEU,2010,1999.0,3414.5749,NA
DEU,2010,2e3,3536.3549,NA
DEU,2010,2001.0,3603.768,NA
DEU,2010,2002.0,3687.3766,NA
DEU,2010,2003.0,3745.138,NA
DEU,2010,2004.0,3704.9553,NA
DEU,2010,2005.0,3787.1331,NA
DEU,2010,2006.0,3875.1386,NA
DEU,2010,2007.0,3950.1671,NA
DEU,2010,2008.0,4079.0901,NA
DEU,2010,2009.0,4232.5762,NA
DEU,2010,2010.0,4358.6128,NA
DEU,2010,2011.0,4396.4446,NA
DEU,2010,2012.0,4516.9885,NA
DEU,2010,2013.0,4589.3728,NA
DEU,2010,2014.0,4684.4851,NA
