code,EN,FR,DE,IT,PT,AR,RU,ES,JA,ZH
main.title,Life expectancy increases with health expenditure,L'espérance de vie augmente avec les dépenses pour la santé,"Mehr Gesundheitsausgaben, höhere Lebenserwartung",La speranza di vita aumenta con la spesa sanitaria,Expectativa de vida aumenta com os gastos com a saúde,ازدياد العمر المتوقّع بازدياد التكاليف في المجال الصحي,С увеличением расходов на здравоохранение растет и продолжительность жизни,La esperanza de vida aumenta con los gastos en salud,医療費の増加に伴い、平均寿命が延伸,健康支出越高平均寿命越长
descr,Life expectancy vs health expenditure over time (1970-2014),Espérance de vie vs dépenses pour la santé au cours du temps (1970-2014),Lebenserwartung vs. Gesundheitsausgaben im Lauf der Zeit (1970-2014),Speranza di vita vs spesa sanitaria nel tempo (1970-2014),A expectativa de vida vs. despesas de saúde ao longo do tempo (1970-2014),العمر المتوقّع بالمقارنة مع النفقات في المجال الصحي عبر الزمن (1970 -2014),Расходы на здравоохранение и продолжительность жизни в период с 1970 по 2014 гг.,Esperanza de vida VS gastos en salud en el curso del tiempo (1970-2014),平均寿命と医療費の推移の比較（１９７０～２０１４）,1970-2014年期间，平均寿命与健康支出的对应性
x.lab,Health expenditure per capita*,Dépenses en santé par habitant*,Gesundheitsausgaben pro Kopf*,Spesa sanitaria per abitante*,Despesas de saúde por habitante*,نفقات الصحة بحسب الفرد الواحد,Медицинские расходы на человека*,Gastos de salud por habitante*,１人当たりの医療費*,居民人均健康支出*
x.lab2,"(adjusted for inflation, at PPP in 2010 USD)","(ajustée pour l'inflation, en USD 2010 à PPA)  ","(Inflationsbereinigt, in USD Kaufkraftparität 2010)","(adeguata all'inflazione, in dollari americani nel 2010 a PPA)",(ajustado segundo a inflação em dólares americanos e expresso em paridades de poder de compra de 2010),ضبط النفقات بحسب التضخّم بالدولار الامريكي في عام 2010) ,"(с поправкой на инфляцию и учетом покупательной способности, в долларах, в 2010 г.)",(ajustado a la inflación en dólares EE UU en 2010 a PPA),（２０１０年の相対的購買力平価、単位：米ドル）,(根据通货膨胀因素调整后的数字，以2010年美元购买力平价计算)
y.lab,Life Expectancy (years),Espérance de vie (ans),Lebenserwartung (Jahre),Speranza di vita (anni),Expectativa de vida (anos),العمر المتوقّع (بعدد السنوات),Ожидаемая продолжительность жизни (в годах),Esperanza de vida (años),平均寿命（年）,平均寿命(岁)
footer.a,remix of 'Our World in Data' (https://ourworldindata.org/the-link-between-life-expectancy-and-health-spending-us-focus),remix de 'Our World in Data' (https://ourworldindata.org/the-link-between-life-expectancy-and-health-spending-us-focus),Remix aus 'Our World in Data' (https://ourworldindata.org/the-link-between-life-expectancy-and-health-spending-us-focus),"remix di ""Our World in Data"" (https://ourworldindata.org/the-link-between-life-expectancy-and-health-spending-us-focus)",remix of 'Our World in Data' (https://ourworldindata.org/the-link-between-life-expectancy-and-health-spending-us-focus),remix de 'Our World in Data' (https://ourworldindata.org/the-link-between-life-expectancy-and-health-spending-us-focus),Данные из 'Our World in Data' (https://ourworldindata.org/the-link-between-life-expectancy-and-health-spending-us-focus),remix de 'Our World in Data' (https://ourworldindata.org/the-link-between-life-expectancy-and-health-spending-us-focus),Our World in Data' (https://ourworldindata.org/the-link-between-life-expectancy-and-health-spending-us-focus) によるリミックス,混合图表来自：我们的数据世界/Our World in Data (https://ourworldindata.org/the-link-between-life-expectancy-and-health-spending-us-focus)
footer.b,* at purchasing power parity (constant 2010 international USD).,* à parité des pouvoirs d'achat (dollars internationaux constants de 2010).,* Bei Kaufkraftparität (konstante internationale USD 2010).,*a parità di potere d'acquisto (dollari internazionali 2010 costanti),* A paridade do poder de compra (constante em dólares internacionais em 2010),تعادل القوة الشرائية (بالدولار الدولي في عام 2010). ,"*паритет покупательной способности (в долларах, на 2010 г.)",en paridad de poder adquisitivo (dólares internacionales constantes 2010),*購買力平価で見る（２０１０年の実質米ドル）,*购买力平价(以2010年国际元常数为单位)
footer.c,"Total health expenditure is the sum of public and private health expenditures as a ratio of total population. It covers the provision of health services (preventive and curative), family planning activities, nutrition activities, and emergency aid designated for health","Le total des dépenses de santé est la somme des dépenses de santé publiques et privées en tant que ratio de l'ensemble de la population. Il englobe la prestation de services de santé (préventifs et curatifs), les activités de planification familiale, les activités ayant trait à la nutrition et l'aide d'urgence réservée à la santé.","Als gesamte Gesundheitsausgaben versteht man die Summe von privaten und öffenlichen Gesundheitsausgaben im Verhältnis zur Gesamtbevölkerung. Dazu gehören die Erbringung von Gesundheitsdiensten (Prävention und Behandlung), Familienplanung, Aktivitäten im Zusammenhang mit Ernährung und Notfalldienste.","Il totale della spesa sanitaria è la somma delle spese della sanità pubblica e privata in proporzione all'insieme della popolazione. Comprende le prestazioni dei servizi sanitari (preventivi e curativi), le attività di pianificazione familiare, quelle relative alla nutrizione e ai trattamenti d'urgenza. ","O total de despesas de saúde é a soma de despesas de saúde públicas e privadas em proporção à população total. Ele engloba a prestação de serviços de saúde (preventivos e curativos), as atividades de planificação familiar, as atividades relacionadas à nutrição e serviços de emergência. ",إجمالي الإنفاق الصحّي هو مجموع نفقات الصحة العمومية والخاصة مقارنةبعدد مجموع السكان. فهو يشمل الخدمات الصحية (الوقائية والعلاجية)، وأنشطة تنظيم الأسرة، والبرامج المتعلقة بالتغذية، والمساعدات الطارئة المخصصة للمجال الصحي.  ,"Суммарные расходы на здравоохранение состоят из расходов государственного, общественного и частного бюджетов в отношении к общей численности населения. Эти расходы включают предоставление медицинских услуг (профилактика и лечение), меры по планированию семьи, а также расходы, связанные с питанием и оказанием
неотложной медицинской помощи.

","El total de gastos en salud es la suma de los gastos de la sanidad pública y privada en proporción al conjunto de la población. Comprende las prestaciones del servicio sanitario (preventivo y curativo), las actividades de planificación familiar, aquellas relativas a la nutrición y los tratamientos de urgencia.",医療総額とは、住民全体に対する公的・民間医療費の合計を指す。これには、医療サービスの提供（予防と治療）、家族計画、 食生活と運動、救急業務が含まれる。,健康总支出即与总人口对应的公共及私人健康支出。它涵盖了由医疗卫生 服务(预防 和治疗)、家庭生育服务、营养咨询以及与健康相关的急救辅助所产生的开销。
source,Source,source,Quelle,Fonte,fonte,المصدر,Источник,Fuente,出典,来源
