iso2c,country,private,year,iso3c,region,income,public
1A,Arab World,1.99760467929017,1998.0,ARB,Aggregates,Aggregates,2.17771164452816
1A,Arab World,1.87494429321668,2002.0,ARB,Aggregates,Aggregates,2.54023836002385
1A,Arab World,1.77269989050465,2014.0,ARB,Aggregates,Aggregates,3.07316099422632
1A,Arab World,1.74851584779199,2013.0,ARB,Aggregates,Aggregates,2.89542737843889
1A,Arab World,1.75157327257565,2003.0,ARB,Aggregates,Aggregates,2.45041491476824
1A,Arab World,1.67731609904219,1996.0,ARB,Aggregates,Aggregates,2.014602427507
1A,Arab World,1.44128826327514,2005.0,ARB,Aggregates,Aggregates,2.13428100861518
1A,Arab World,1.79115361862061,1997.0,ARB,Aggregates,Aggregates,2.07130873210033
1A,Arab World,1.94667297438303,1999.0,ARB,Aggregates,Aggregates,2.33100034495579
1A,Arab World,1.62328273432117,2004.0,ARB,Aggregates,Aggregates,2.31491407698612
1A,Arab World,1.39282763009263,2006.0,ARB,Aggregates,Aggregates,2.1330376662719
1A,Arab World,1.80195821425916,2001.0,ARB,Aggregates,Aggregates,2.58875077999097
1A,Arab World,1.45566651111615,2007.0,ARB,Aggregates,Aggregates,2.16687238035201
1A,Arab World,1.43202122827359,2008.0,ARB,Aggregates,Aggregates,2.10123272586866
1A,Arab World,1.69556061872731,1995.0,ARB,Aggregates,Aggregates,2.00486778485102
1A,Arab World,1.78618910260762,2e3,ARB,Aggregates,Aggregates,2.33359609957582
1A,Arab World,1.55470486762906,2011.0,ARB,Aggregates,Aggregates,2.53957031102645
1A,Arab World,1.67163415168395,2012.0,ARB,Aggregates,Aggregates,2.7112619789228
1A,Arab World,1.74194398604582,2009.0,ARB,Aggregates,Aggregates,2.83006684511766
1A,Arab World,1.67246422094562,2010.0,ARB,Aggregates,Aggregates,2.48963145667583
1W,World,3.91214200798551,2013.0,WLD,Aggregates,Aggregates,5.92167959531036
1W,World,3.9083711220767,2012.0,WLD,Aggregates,Aggregates,5.94078818691356
1W,World,4.15378957995319,2002.0,WLD,Aggregates,Aggregates,5.63390466808338
1W,World,3.95051124029965,2014.0,WLD,Aggregates,Aggregates,5.9940282335562
1W,World,3.7248313239285,1999.0,WLD,Aggregates,Aggregates,5.27491229890045
1W,World,3.85725235993745,2011.0,WLD,Aggregates,Aggregates,5.98256484416227
1W,World,3.95895779142656,2010.0,WLD,Aggregates,Aggregates,6.07544619283889
1W,World,3.80205349650048,2e3,WLD,Aggregates,Aggregates,5.22111925385602
1W,World,3.83892854119964,2008.0,WLD,Aggregates,Aggregates,5.78265713988627
1W,World,3.89658181993771,2007.0,WLD,Aggregates,Aggregates,5.65229917015873
1W,World,3.99456366819975,2006.0,WLD,Aggregates,Aggregates,5.70187301102752
1W,World,4.08197925259663,2009.0,WLD,Aggregates,Aggregates,6.32094847018001
1W,World,4.16806833323843,2003.0,WLD,Aggregates,Aggregates,5.76542048189439
1W,World,3.99226779097171,2001.0,WLD,Aggregates,Aggregates,5.4440443818674
1W,World,4.06682464983236,2005.0,WLD,Aggregates,Aggregates,5.73355311250678
1W,World,4.05682109993821,2004.0,WLD,Aggregates,Aggregates,5.75546547219338
1W,World,3.32449188335492,1996.0,WLD,Aggregates,Aggregates,5.24676979079162
1W,World,3.66642199004437,1998.0,WLD,Aggregates,Aggregates,5.22792988230364
1W,World,3.47301047072556,1997.0,WLD,Aggregates,Aggregates,5.19680284966818
1W,World,3.23469182075557,1995.0,WLD,Aggregates,Aggregates,5.28630362149756
4E,East Asia & Pacific (excluding high income),2.35726202780131,2014.0,NA,NA,NA,2.97505095456074
4E,East Asia & Pacific (excluding high income),2.28857978530581,2013.0,NA,NA,NA,2.88180489210289
4E,East Asia & Pacific (excluding high income),2.22542169118492,2012.0,NA,NA,NA,2.81148971270637
4E,East Asia & Pacific (excluding high income),2.1360574778904,2011.0,NA,NA,NA,2.66978747110085
4E,East Asia & Pacific (excluding high income),2.14012335080039,2010.0,NA,NA,NA,2.53842979044493
4E,East Asia & Pacific (excluding high income),2.30620306608317,2009.0,NA,NA,NA,2.57499374740956
4E,East Asia & Pacific (excluding high income),2.18808023970753,2008.0,NA,NA,NA,2.25621390193123
4E,East Asia & Pacific (excluding high income),2.1803977017787,2007.0,NA,NA,NA,2.07666614542843
4E,East Asia & Pacific (excluding high income),2.47182184630956,2006.0,NA,NA,NA,1.8752670933531
4E,East Asia & Pacific (excluding high income),2.61767538237708,2005.0,NA,NA,NA,1.7963198904703
4E,East Asia & Pacific (excluding high income),2.5884100293931,2004.0,NA,NA,NA,1.81566667597136
4E,East Asia & Pacific (excluding high income),2.68314491576775,2003.0,NA,NA,NA,1.80863737068139
4E,East Asia & Pacific (excluding high income),2.6551198693069,2002.0,NA,NA,NA,1.73685576324599
4E,East Asia & Pacific (excluding high income),2.56898768893122,2001.0,NA,NA,NA,1.62688728143916
4E,East Asia & Pacific (excluding high income),2.45397871072806,2e3,NA,NA,NA,1.68918466218573
4E,East Asia & Pacific (excluding high income),2.3493714661704,1999.0,NA,NA,NA,1.75401334987062
4E,East Asia & Pacific (excluding high income),2.28620976420812,1998.0,NA,NA,NA,1.76460260370442
4E,East Asia & Pacific (excluding high income),2.00328722658398,1997.0,NA,NA,NA,1.67832210784126
4E,East Asia & Pacific (excluding high income),1.87728255906433,1996.0,NA,NA,NA,1.6402511451171
4E,East Asia & Pacific (excluding high income),1.69737518230344,1995.0,NA,NA,NA,1.61585244276294
7E,Europe & Central Asia (excluding high income),1.99888273308775,2006.0,NA,NA,NA,3.56611686295326
7E,Europe & Central Asia (excluding high income),2.00605328874047,2005.0,NA,NA,NA,3.50673561708487
7E,Europe & Central Asia (excluding high income),2.0208690586714,2004.0,NA,NA,NA,3.47298233360618
7E,Europe & Central Asia (excluding high income),2.05704301821068,2003.0,NA,NA,NA,3.62167265798998
7E,Europe & Central Asia (excluding high income),2.14135426518313,2002.0,NA,NA,NA,3.60566462985006
7E,Europe & Central Asia (excluding high income),2.10720918123808,2001.0,NA,NA,NA,3.35761302569415
7E,Europe & Central Asia (excluding high income),2.05432351860044,2e3,NA,NA,NA,3.16715548073577
7E,Europe & Central Asia (excluding high income),2.08923416171665,1999.0,NA,NA,NA,3.22293832507451
7E,Europe & Central Asia (excluding high income),1.8290206694366,1998.0,NA,NA,NA,3.41275237562109
7E,Europe & Central Asia (excluding high income),1.83358335491644,1997.0,NA,NA,NA,4.03521465370065
7E,Europe & Central Asia (excluding high income),1.54930697941992,1996.0,NA,NA,NA,3.40789589864448
7E,Europe & Central Asia (excluding high income),1.39260198687089,1995.0,NA,NA,NA,3.40157947500073
7E,Europe & Central Asia (excluding high income),2.7124582077083,2014.0,NA,NA,NA,3.71475691248357
7E,Europe & Central Asia (excluding high income),2.74301125074343,2013.0,NA,NA,NA,3.73600180274843
7E,Europe & Central Asia (excluding high income),2.54018040978639,2012.0,NA,NA,NA,3.78015996948435
7E,Europe & Central Asia (excluding high income),2.47220590441646,2011.0,NA,NA,NA,3.65283508656055
7E,Europe & Central Asia (excluding high income),2.50018994077379,2010.0,NA,NA,NA,3.87811262567352
7E,Europe & Central Asia (excluding high income),2.56694168433006,2009.0,NA,NA,NA,4.21818787997554
7E,Europe & Central Asia (excluding high income),2.34419685513659,2008.0,NA,NA,NA,3.73516049712434
7E,Europe & Central Asia (excluding high income),1.99663232059767,2007.0,NA,NA,NA,3.63578011428111
8S,South Asia,2.88142598960454,1998.0,SAS,Aggregates,Aggregates,1.07083241275534
8S,South Asia,2.83791704535964,1997.0,SAS,Aggregates,Aggregates,1.03749881079387
8S,South Asia,2.97543872825719,2009.0,SAS,Aggregates,Aggregates,1.20550138834879
8S,South Asia,2.99025607872526,2006.0,SAS,Aggregates,Aggregates,1.10352157464738
8S,South Asia,2.96566995511199,2005.0,SAS,Aggregates,Aggregates,1.10344231117224
8S,South Asia,3.00967155686449,2008.0,SAS,Aggregates,Aggregates,1.15160582910816
8S,South Asia,2.99558489295414,2007.0,SAS,Aggregates,Aggregates,1.09051214016175
8S,South Asia,2.6837312003029,1999.0,SAS,Aggregates,Aggregates,1.08122801854298
8S,South Asia,2.86066032601429,2e3,SAS,Aggregates,Aggregates,1.06705231114076
8S,South Asia,2.66380420884751,1996.0,SAS,Aggregates,Aggregates,0.997990259612886
8S,South Asia,3.04056196938684,2003.0,SAS,Aggregates,Aggregates,0.973376678042068
8S,South Asia,3.07158720256843,2002.0,SAS,Aggregates,Aggregates,1.03253837636275
8S,South Asia,2.728814979383,1995.0,SAS,Aggregates,Aggregates,1.03503163973062
8S,South Asia,2.95322431063285,2004.0,SAS,Aggregates,Aggregates,1.01891438745049
8S,South Asia,2.96021024821683,2010.0,SAS,Aggregates,Aggregates,1.18109808782682
8S,South Asia,2.98040902809954,2011.0,SAS,Aggregates,Aggregates,1.18115287926242
8S,South Asia,3.00613645639906,2014.0,SAS,Aggregates,Aggregates,1.36789917246248
8S,South Asia,2.98433143140473,2013.0,SAS,Aggregates,Aggregates,1.28224814048449
8S,South Asia,2.98212591021386,2012.0,SAS,Aggregates,Aggregates,1.19027208959778
8S,South Asia,3.06604512709091,2001.0,SAS,Aggregates,Aggregates,1.04223830811408
AD,Andorra,1.74777086730114,2006.0,AND,Europe & Central Asia (all income levels),High income: nonOECD,3.56612237269886
AD,Andorra,1.8630136986882,2002.0,AND,Europe & Central Asia (all income levels),High income: nonOECD,4.1095890413118
AD,Andorra,1.78568960620004,2014.0,AND,Europe & Central Asia (all income levels),High income: nonOECD,6.34144600379996
AD,Andorra,1.78568960565423,2013.0,AND,Europe & Central Asia (all income levels),High income: nonOECD,9.69235679434577
AD,Andorra,1.80029753272145,2012.0,AND,Europe & Central Asia (all income levels),High income: nonOECD,5.74703987727854
AD,Andorra,1.77750218388556,2011.0,AND,Europe & Central Asia (all income levels),High income: nonOECD,4.92628930611444
AD,Andorra,1.75723982309386,2010.0,AND,Europe & Central Asia (all income levels),High income: nonOECD,6.24202669690614
AD,Andorra,1.72215248598143,2009.0,AND,Europe & Central Asia (all income levels),High income: nonOECD,5.03753714401857
AD,Andorra,1.74913286822206,2007.0,AND,Europe & Central Asia (all income levels),High income: nonOECD,4.58632291177794
AD,Andorra,1.76364429117443,2005.0,AND,Europe & Central Asia (all income levels),High income: nonOECD,3.45970884882557
AD,Andorra,1.78762227045662,2004.0,AND,Europe & Central Asia (all income levels),High income: nonOECD,3.91626013954338
AD,Andorra,1.79885309503363,2003.0,AND,Europe & Central Asia (all income levels),High income: nonOECD,3.94617981496637
AD,Andorra,1.74233778090344,2008.0,AND,Europe & Central Asia (all income levels),High income: nonOECD,4.82507081909656
AD,Andorra,1.8089834125,2001.0,AND,Europe & Central Asia (all income levels),High income: nonOECD,3.9797635075
AD,Andorra,2.01834553099687,1998.0,AND,Europe & Central Asia (all income levels),High income: nonOECD,5.73758022900313
AD,Andorra,1.80475151319123,2e3,AND,Europe & Central Asia (all income levels),High income: nonOECD,3.97654822680877
AD,Andorra,1.79484260071688,1999.0,AND,Europe & Central Asia (all income levels),High income: nonOECD,3.93346563928312
AD,Andorra,1.8253165444614,1995.0,AND,Europe & Central Asia (all income levels),High income: nonOECD,3.9826832955386
AD,Andorra,1.8586859872137,1996.0,AND,Europe & Central Asia (all income levels),High income: nonOECD,4.2356472227863
